,Category,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Governing Law,Notice to terminate renewal,Exact_Law,Exclusivity,Post-Termination Services,Discrepancy,Notice to Terminate Renewal,Unnamed: 14,Unnamed: 15,Filename
10,Endorsement,['ENDORSEMENT AGREEMENT'],"['Eco Science Solutions, Inc.', 'Stephen Marley', 'Talent', 'ESSI']",['14th day of November 2017'],['14th day of November 2017'],"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']","['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']",Indian Law,,"'Civil Law' (since Indian Law is a broad term that covers various specific laws, and in the absence of more specific information, I am assuming 'Civil Law' to be the applicable governing law)",[],[],,"['The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").']",,,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf
11,Endorsement,['COLLABORATION & ENDORSEMENT AGREEMENT'],"['Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties"".', 'Naked', 'Athlete', 'Wade Enterprises', 'The Naked Brands Group, Inc.', '""Athlete"" and together with Wade Enterprises, collectively ""Wade"")', 'Wade Enterprises, LLC', 'f/s/o Dwyane Wade']","['15th day of June, 2015']","['15th day of June, 2015']","['The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']","['In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.', 'The other Party will then have a period of fourteen (14) days from the date of the notice to indicate whether it also desires to extend the Term, on the terms and conditions set forth herein and if no such indication is made, the other Party will be deemed to have declined the offer to extend', 'The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").']",Indian Law,,"Civil Law (as 'Indian Law' is a reference to the legal system of India, and this contract appears to be a civil agreement)","['Notwithstanding the foregoing, Wade agrees that for a period of ninety (90) days prior to the expiration of the Term (unless the Agreement is terminated by Wade as permitted hereunder), Naked shall have the exclusive right to negotiate for continued endorsement by Athlete of the Naked Products.', 'During the Term and subject to the limitations set forth in this Agreement, Naked shall have an exclusive right and license in the Territory to use Athlete\'s name, nickname, initials, autograph, image, likeness, photographs, biographical details, facsimile signature, voice, videos, electronic media depictions, any words, symbols or other depictions, as well as any other identifying attributes that would identify Athlete to the public, including any trade mark(s), copyrights which Wade has, as set forth on Schedule A attached hereto, and all multimedia assets that Wade owns or has right to use (collectively, the ""Wade Image"") solely for the advertising, endorsement, promotion, or sale of the Naked Products (including the Wade Products) in the Territory as follows:']","['For a period of six (6) months at the end of the Term (the ""Sell-off Period""); provided that the Agreement was not terminated by Wade as permitted herein, Naked will have the right to continue to sell the Wade Products (defined below) for which orders have already been placed at the end of the Term on the terms and conditions herein.']",,[],,,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf
12,Franchise,['GAS FRANCHISE AGREEMENT'],"['TOWN OF VINTON, VIRGINIA', 'ROANOKE GAS COMPANY', 'Grantor', 'Grantee']","['17th day of November, 2015']","['The effective date of the Franchise will be January 1, 2016.']","['The term of the Franchise shall be twenty (20) years, commencing on January 1, 2016.']",[],Indian Law,,"Neither 'Contract Act', 'Commercial Code', 'Consumer Protection Act', 'Civil Law' or any specific Indian laws are mentioned in the provided details. The governing law should be explicitly stated as a specific Indian law, such as 'The Indian Contract Act, 1872' or 'The Specific Relief Act, 1963', to avoid confusion.",[],[],,[],,,RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf
13,Franchise,['MASTER FRANCHISE AGREEMENT'],"['Franchisor', 'Smaaash Entertainment Private Limited', 'I-AM Capital Acquisition Company', 'Franchisee']","['20t h day of November, 2018']","['20t h day of November, 2018']","['The term of this Agreement shall commence as of the Effective Date and shall continue until terminated as hereinafter provided (the ""Term"").']",[],Indian Law,,,"['Except as provided in the next sentence, the license granted herein shall be exclusive.', '""Exclusivity"" shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement; provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of Franchisor\'s entertainment centers already set up as of the Effective Date in the Territory. The restriction contained in this Agreement shall apply on the parties throughout the Term.', 'Subject to Section 1.2, Franchisor hereby grants to Franchisee the exclusive right, (a) to establish and operate Smaaash Centres in the Territory, (b) to sub-license the right to establish and operate Smaaash Centres to third party franchisees in and for the Territory, (c) a license to use the products and other services developed by Franchisor with respect to the Smaaash Centres (including a right to authorise the use of products and services developed by the Franchisor by third party franchisees), in the Territory, and (d) to identify third party franchisees for the Smaaash Centres in the Territory.']",[],,[],,,SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf
14,Hosting,"['Website Design, Development and Hosting Agreement']","[""Mitchell's Web Advance, PLC"", 'Client', 'FreeCook', 'Company']","['January 11, 2018']",[],"['Terms of the project: 12 weeks from February 8, 2018 to May 3, 2018']",[],Indian Law,,"'Civil Law' (as 'Contract Act', 'Commercial Code', and 'Consumer Protection Act' are specific laws usually found in statutes, and this contract generally specifies the governing law as 'Indian Law')",[],[],,[],,,Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf
15,Hosting,['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],"['each individually referred to as ""Party"" and together as ""Parties"".', 'Elephant Talk Communication Holding AG', 'T-Mobile', 'T-Mobile Netherlands B.V.', 'ELEPHANT TALK']",['18/9/2008'],"['This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.']","['This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.']","['At the end of *** Parties will negotiate in good faith regarding a possible extension of the Initial Term.', 'Parties can mutually agree in writing to deviate from an automatic extension of *** by extending this Agreement for a longer period than ***.', 'If no termination notice is provided, the Agreement will be automatically extended for consecutive *** periods until such time as *** termination notice is provided.']",Indian Law,,,[],[],"Yes, there is a discrepancy in the provided details regarding the Effective Date, Expiration Date, and Renewal Term. It is not clear what the value of the asterisks (\*\*) should be, which makes it difficult to determine the actual dates for the contract. Additionally, the 'Notice",[],,,PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf
16,Hosting,['SERVICES AND HOSTING AGREEMENT'],"['VITALIBIS INC', '-Licensee""', 'VOTOCAST, Inc.', '""VOTOCAST']",['3-14-18'],['The Effective Date of this Agreement shall be the later of the dates shown by the signatures below.'],"['This Agreement shall commence as of the Effective Date and shall continue in effect for one (I) year, unless earlier terminated as expressly provided in Sections 1.3. 10.1. or 10.2 of this Agreement (the *Initial Term"")']","['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']",Indian Law,,,[],[],"There is no clear discrepancy in the provided details, but the 'Notice to terminate renewal' is repeated under different sections. It would be better to avoid redundancy in the contract. Also, the 'Notice to terminate renewal' section should clearly state the party who needs to provide the notice and","['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']",,,VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf
17,Hosting,['e-business Hosting Agreement'],"['IBM', 'The Quantum Group Inc.', 'Customer', 'International Business Machines Corporation']",[],"['This Agreement will be effective beginning on 12:01 a.m., Eastern Time, on the day after the date of last signature to these Base Terms (""Effective Date"").']","['This Agreement will remain in effect for Thirty-six (36)<omitted>months following the Hosting Service Ready Date (""Term""), unless terminated earlier in accordance with the terms herein.']",[],Indian Law,,,[],[],,[],,,QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf
18,IP,"['INTELLECTUAL PROPERTY AGREEMENT, d']","['CERENCE INC.', 'SpinCo', 'Nuance', 'NUANCE COMMUNICATIONS, INC.']","['September 30, 2019']","['This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.']",[],[],Indian Law,,"'Civil Law' (as 'Indian Law' is likely referring to the Indian Contract Act, 1872, and other civil legislation)",[],[],"The contract lacks essential details including the defined terms for 'SpinCo', 'Nuance', and the specific Indian civil laws applicable to the agreement. Additionally, it does not contain information about the exclusivity, post-termination services, and notice to terminate renewal",[],,,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf
19,IP,"['INTELLECTUAL PROPERTY AGREEMENT, d']","['HONEYWELL INTERNATIONAL INC.', 'GARRETT MOTION INC.', 'SpinCo', 'Honeywell']","['September 27, 2018']","['This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.']",[],[],Indian Law,,"'Civil Law' (given that India follows a common law system, and this contract is related to IP, it would typically be governed by the Indian Contract Act and the Specific Relief Act, both of which fall under the broader category of Civil Law)",[],[],,[],,,GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf
